Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Abadia dos Dourados ,2021,"25.174,26"
Abaeté ,2021,"23.266,10"
Abre Campo ,2021,"19.553,86"
Acaiaca ,2021,"16.247,06"
Açucena ,2021,"17.888,20"
Água Boa ,2021,"14.421,07"
Água Comprida ,2021,"115.725,51"
Aguanil ,2021,"20.762,54"
Águas Formosas ,2021,"14.913,12"
Águas Vermelhas ,2021,"17.329,28"
Aimorés ,2021,"25.402,54"
Aiuruoca ,2021,"21.608,49"
Alagoa ,2021,"17.958,99"
Albertina ,2021,"51.065,05"
Além Paraíba ,2021,"27.422,83"
Alfenas ,2021,"43.049,74"
Alfredo Vasconcelos ,2021,"21.364,59"
Almenara ,2021,"15.924,96"
Alpercata ,2021,"12.700,99"
Alpinópolis ,2021,"26.133,79"
Alterosa ,2021,"20.357,31"
Alto Caparaó ,2021,"16.354,23"
Alto Jequitibá ,2021,"15.158,56"
Alto Rio Doce ,2021,"16.798,64"
Alvarenga ,2021,"14.445,67"
Alvinópolis ,2021,"22.478,72"
Alvorada de Minas ,2021,"17.990,28"
Amparo do Serra ,2021,"12.045,13"
Andradas ,2021,"28.386,06"
Andrelândia ,2021,"23.950,85"
Angelândia ,2021,"16.818,81"
Antônio Carlos ,2021,"21.088,32"
Antônio Dias ,2021,"96.894,13"
Antônio Prado de Minas ,2021,"18.117,22"
Araçaí ,2021,"25.422,80"
Aracitaba ,2021,"15.253,67"
Araçuaí ,2021,"14.163,67"
Araguari ,2021,"49.322,18"
Arantina ,2021,"31.861,03"
Araponga ,2021,"14.443,79"
Araporã ,2021,"185.156,76"
Arapuá ,2021,"60.936,37"
Araújos ,2021,"49.809,64"
Araxá ,2021,"82.570,25"
Arceburgo ,2021,"31.547,24"
Arcos ,2021,"57.713,61"
Areado ,2021,"20.234,71"
Argirita ,2021,"14.954,09"
Aricanduva ,2021,"12.645,43"
Arinos ,2021,"17.849,84"
Astolfo Dutra ,2021,"20.339,56"
Ataléia ,2021,"15.926,39"
Augusto de Lima ,2021,"18.423,57"
Baependi ,2021,"19.795,44"
Baldim ,2021,"25.871,06"
Bambuí ,2021,"32.549,38"
Bandeira do Sul ,2021,"14.907,61"
Bandeira ,2021,"12.476,94"
Barão de Cocais ,2021,"73.393,52"
Barão de Monte Alto ,2021,"11.883,74"
Barbacena ,2021,"25.335,18"
Barra Longa ,2021,"16.702,85"
Barroso ,2021,"29.022,49"
Bela Vista de Minas ,2021,"55.337,41"
Belmiro Braga ,2021,"17.992,57"
Belo Horizonte ,2021,"41.818,32"
Belo Oriente ,2021,"77.527,64"
Belo Vale ,2021,"36.243,16"
Berilo ,2021,"9.551,50"
Berizal ,2021,"12.734,93"
Bertópolis ,2021,"11.671,08"
Betim ,2021,"73.624,78"
Bias Fortes ,2021,"12.668,63"
Bicas ,2021,"18.998,70"
Biquinhas ,2021,"25.978,67"
Boa Esperança ,2021,"26.261,54"
Bocaina de Minas ,2021,"15.766,67"
Bocaiúva ,2021,"24.252,97"
Bom Despacho ,2021,"35.269,00"
Bom Jardim de Minas ,2021,"19.828,35"
Bom Jesus da Penha ,2021,"45.924,06"
Bom Jesus do Amparo ,2021,"25.935,64"
Bom Jesus do Galho ,2021,"11.568,99"
Bom Repouso ,2021,"15.221,01"
Bom Sucesso ,2021,"25.271,28"
Bonfim ,2021,"19.772,69"
Bonfinópolis de Minas ,2021,"84.995,13"
Bonito de Minas ,2021,"8.784,49"
Borda da Mata ,2021,"18.923,96"
Botelhos ,2021,"21.834,65"
Botumirim ,2021,"12.103,05"
Brasilândia de Minas ,2021,"24.489,37"
Brasília de Minas ,2021,"11.627,40"
Brasópolis ,2021,"13.786,69"
Brás Pires ,2021,"11.758,46"
