"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Município";"Ano"
"Município";"2023"
"Abadia dos Dourados (MG)";"190397"
"Abaeté (MG)";"641971"
"Abre Campo (MG)";"331512"
"Acaiaca (MG)";"85066"
"Açucena (MG)";"172094"
"Água Boa (MG)";"235422"
"Água Comprida (MG)";"330940"
"Aguanil (MG)";"111494"
"Águas Formosas (MG)";"362826"
"Águas Vermelhas (MG)";"278390"
"Aimorés (MG)";"793376"
"Aiuruoca (MG)";"154422"
"Alagoa (MG)";"63840"
"Albertina (MG)";"90906"
"Além Paraíba (MG)";"1045759"
"Alfenas (MG)";"3669899"
"Alfredo Vasconcelos (MG)";"176964"
"Almenara (MG)";"813917"
"Alpercata (MG)";"112973"
"Alpinópolis (MG)";"618618"
"Alterosa (MG)";"332256"
"Alto Caparaó (MG)";"131678"
"Alto Rio Doce (MG)";"222897"
"Alvarenga (MG)";"64939"
"Alvinópolis (MG)";"402513"
"Alvorada de Minas (MG)";"95009"
"Amparo do Serra (MG)";"71597"
"Andradas (MG)";"1483245"
"Cachoeira de Pajeú (MG)";"146445"
"Andrelândia (MG)";"340782"
"Angelândia (MG)";"193853"
"Antônio Carlos (MG)";"412676"
"Antônio Dias (MG)";"535451"
"Antônio Prado de Minas (MG)";"35792"
"Araçaí (MG)";"75709"
"Aracitaba (MG)";"40166"
"Araçuaí (MG)";"1081893"
"Araguari (MG)";"6858534"
"Arantina (MG)";"77723"
"Araponga (MG)";"143377"
"Araporã (MG)";"1209045"
"Arapuá (MG)";"249487"
"Araújos (MG)";"464947"
"Araxá (MG)";"8847240"
"Arceburgo (MG)";"460319"
"Arcos (MG)";"3058033"
"Areado (MG)";"380056"
"Argirita (MG)";"51372"
"Aricanduva (MG)";"86410"
"Arinos (MG)";"544568"
"Astolfo Dutra (MG)";"453516"
"Ataléia (MG)";"259696"
"Augusto de Lima (MG)";"113862"
"Baependi (MG)";"451940"
"Baldim (MG)";"132125"
"Bambuí (MG)";"861016"
"Bandeira (MG)";"66317"
"Bandeira do Sul (MG)";"113862"
"Barão de Cocais (MG)";"1547170"
"Barão do Monte Alto (MG)";"73841"
"Barbacena (MG)";"4108617"
"Barra Longa (MG)";"101736"
"Barroso (MG)";"801810"
"Bela Vista de Minas (MG)";"407734"
"Belmiro Braga (MG)";"79258"
"Belo Horizonte (MG)";"130197671"
"Belo Oriente (MG)";"2329754"
"Belo Vale (MG)";"268616"
"Berilo (MG)";"139373"
"Bertópolis (MG)";"62780"
"Berizal (MG)";"70041"
"Betim (MG)";"52614325"
"Bias Fortes (MG)";"51305"
"Bicas (MG)";"357491"
"Biquinhas (MG)";"75634"
"Boa Esperança (MG)";"1413664"
"Bocaina de Minas (MG)";"105938"
"Bocaiúva (MG)";"1435951"
"Bom Despacho (MG)";"2193212"
"Bom Jardim de Minas (MG)";"152445"
"Bom Jesus da Penha (MG)";"203053"
"Bom Jesus do Amparo (MG)";"178433"
"Bom Jesus do Galho (MG)";"221368"
"Bom Repouso (MG)";"209757"
"Bom Sucesso (MG)";"468363"
"Bonfim (MG)";"142868"
"Bonfinópolis de Minas (MG)";"473316"
"Bonito de Minas (MG)";"127474"
"Borda da Mata (MG)";"465206"
"Botelhos (MG)";"346227"
"Botumirim (MG)";"85707"
"Brasilândia de Minas (MG)";"466969"
"Brasília de Minas (MG)";"510728"
"Brás Pires (MG)";"60376"
"Braúnas (MG)";"224250"
"Brazópolis (MG)";"277926"
"Brumadinho (MG)";"2845330"
"Bueno Brandão (MG)";"256721"
"Buenópolis (MG)";"191748"
"Bugre (MG)";"56472"
"Buritis (MG)";"1446139"
"Buritizeiro (MG)";"852046"
"Cabeceira Grande (MG)";"529789"
"Cabo Verde (MG)";"320280"
"Cachoeira da Prata (MG)";"68105"
"Cachoeira de Minas (MG)";"609745"
"Cachoeira Dourada (MG)";"156900"
"Caetanópolis (MG)";"361894"
"Caeté (MG)";"1004131"
"Caiana (MG)";"103764"
"Cajuri (MG)";"128296"
"Caldas (MG)";"372574"
"Camacho (MG)";"89251"
"Camanducaia (MG)";"1318310"
"Cambuí (MG)";"2451443"
"Cambuquira (MG)";"455159"
"Campanário (MG)";"61167"
"Campanha (MG)";"561947"
"Campestre (MG)";"564549"
"Campina Verde (MG)";"677668"
"Campo Azul (MG)";"52497"
"Campo Belo (MG)";"1458096"
"Campo do Meio (MG)";"244375"
"Campo Florido (MG)";"1054872"
"Campos Altos (MG)";"524859"
"Campos Gerais (MG)";"841150"
"Canaã (MG)";"102039"
"Canápolis (MG)";"937761"
"Cana Verde (MG)";"95423"
"Candeias (MG)";"442692"
"Cantagalo (MG)";"63289"
"Caparaó (MG)";"129596"
"Capela Nova (MG)";"70184"
"Capelinha (MG)";"1111827"
"Capetinga (MG)";"233338"
"Capim Branco (MG)";"179521"
"Capinópolis (MG)";"861974"
"Capitão Andrade (MG)";"71144"
"Capitão Enéas (MG)";"580398"
"Capitólio (MG)";"443829"
"Caputira (MG)";"196872"
"Caraí (MG)";"273823"
"Caranaíba (MG)";"49306"
"Carandaí (MG)";"883369"
"Carangola (MG)";"780303"
"Caratinga (MG)";"2871549"
"Carbonita (MG)";"199922"
"Careaçu (MG)";"199576"
"Carlos Chagas (MG)";"629832"
"Carmésia (MG)";"45529"
"Carmo da Cachoeira (MG)";"367738"
"Carmo da Mata (MG)";"315082"
"Carmo de Minas (MG)";"330268"
"Carmo do Cajuru (MG)";"779793"
"Carmo do Paranaíba (MG)";"1195269"
"Carmo do Rio Claro (MG)";"843687"
"Carmópolis de Minas (MG)";"541381"
"Carneirinho (MG)";"684512"
"Carrancas (MG)";"174307"
"Carvalhópolis (MG)";"86224"
"Carvalhos (MG)";"103816"
"Casa Grande (MG)";"81954"
